"seller","name","washVolumeUSDC","totalSellerVolumeUSDC","authenticatedReferences","transactions","proofId","stageTransaction","finalizeTransaction"
"0x0329c5D3920E301740f78D6E17B8d1a11ccA9B2C","Flash","46341.556102","48995.164849","41624","55","0x40a2747dd42e8b150480f97bbe90d31c8f707509e1fe9237343cd29013868958","0xb382d8be64aa3aff86837c96b2d52591a84ab2f3a463fa100952bf138c496491","0xf5df10f0db3b8ed0399702d983cab554d834d88350456e573aebee9902672c59"
"0x05322Ba8E1ae2c134D4BF20bBd21B435aE6cd098","Agent 53641","225.700000","225.700000","4795","8","0xfe4e79d0ba4213aed1ca2464a1c193721f62d9225cb893af28bf43cfba30825a","0x5b2f91b8eb6b893c5b702bffa9da40f13ed8512215a621e821a4836b3da95f77","0x294ca129ca386ea751fe227b279eddeb04049e1398502b7683eeecfb348494c8"
"0x087800d22b7dA6DCfeF347F1DAC6A9E6B7493e9E","Agent 53645","101.900000","101.900000","2136","5","0xf58dfc37b6f71864801019b04735c98164de5f1b353ed3b47dacc42cd5eb02e8","0xdfacf7974cb6c9aad3231e0512d8022a6c96e9567c26b82dfdacb5533be1155e","0xd7e170dd232b0a52fb11507d81fb798bf169a54f2d1f8f53fa47a74c33577f21"
"0x0EcbDe32e1DC6c3FB8AAda176CEa7954316e9696","Agent 53781","389.000000","389.000000","8093","13","0xdd2c529f9a7c21305f942802024495c8d98da1058646eb2ddaa6892376464f8d","0xb642e0a412a6c15d0890a911101c31c8926358e0af550d44a92a787829011016","0xba4ff7c7600fe1563b09122966df8375f121de6a8c7295d1958a973fac6853ce"
"0x17cca44Fd5C8D5A2e28b9645Ec9977d46537C89B","Agent 53617","488.800000","488.800000","10334","15","0xc15250037b08d40cb078ee31bee09ff436cdf58abcecc0c3dccf24da644e1228","0x73e8c87ebaf03df7e4c13f958efc5a4c3ae1762ca166c14b8d323e9ecd77a829","0xd5e43e273087b3dd86218cc193b93c89e14fedcb8c74abdabefe06d05fab3b61"
"0x1982Cb91d172e4064Ea0eB65085234fCd9F2a40f","Agent 53609","237.400000","237.400000","4994","9","0xaf2f589f574d87da2a72ebf90d74ea9c826ae990b779ef743b442c6601bef777","0xfdd6225b41bb091c5e927c9cee0db9d40f79cd9e756931b23ba03c204fb37519","0xf0a43f108680f3cab70140a11ba6e5e3dca9be374126349ad8b41e144bd12d87"
"0x1B46B5Ed9512dc2ad4c4a3d9EC89AEbe4deE3631","Agent 53626","557.300000","557.300000","11773","17","0x01f9c60f16f031f1a5a88e2cc1e4501378efb4041c052b502336702a83912c20","0x5ae3d8670362ccedca4acf44287f452ce650c154684a5ed1b8e9667974b0a2db","0x497fb8556f91280f1535a6a3bbee54ec0207c12287f41f6e51eda5f0878f8b9c"
"0x1C98Fa01dcc641E431346bE0767bC7344e889761","Agent 53782","389.900000","389.900000","8093","13","0x63b3142e2a43452b92a7e13c101bee7f3dddcb59d8b3dda9ac907e8083ebb9e1","0x791d58037083b7664159c67d7374ccc1589892e8030f1ff237dbaa6562364482","0xfbb6a7a1a8a65a7255e2d1a44bd2501bc7f69ae6102f938629bb52d9bc5be32e"
"0x1f761c8D047C73e4de85F07F54b5EF4F01D8E3D0","Agent 53796","434.000000","434.000000","9375","14","0x00330873e2a2e1515802f801b394439151d798addcd7ae46b96f74eefe4052db","0xd206d7d155d693b130479ea0c28d9198d0d721538c9149559c4fa6f0a6462052","0x7360181641f24723842a9fdeb97e4b433229438b83d602f10723b7b7ca450f43"
"0x20E7fB440a5ad18F7b9BAE09AE51E806cdE38B25","Agent 53906","127.300000","127.300000","2663","6","0x173fd1322906961228252d42af7f40e015e4eb8a779953cf25d8095ae4a22480","0x024af2018963a334a24f408898e304045892e1c026f1cfd7fecd02632d576a30","0xe53d1a55af2a2ef0f2e32d19ca57fa95b2b752203f9ac4895daf6cfabcbaa4ba"
